_id,email,projectId,allocation_start,allocation_end,created_at
661638aeb9a42e76f265f886,davidlee@example.org,aac1196b-68e4-4672-a228-b828960a3294,2024-04-08,2024-06-23,2024-04-10 12:28:50.113
661638aeb9a42e76f265f887,hthompson@example.org,9f6053dc-9b80-4e5a-b4c4-a696dcf89d53,2024-03-20,2024-07-07,2024-04-10 12:28:50.113
661638aeb9a42e76f265f888,tyler19@example.com,b0c69922-4251-4b20-91d8-8fb61365d167,2024-03-16,2024-06-26,2024-04-10 12:28:50.113
661638aeb9a42e76f265f889,rwright@example.org,e421afbb-37f5-41de-a87d-9797026977f9,2024-03-11,2024-06-13,2024-04-10 12:28:50.113
661638aeb9a42e76f265f88a,hcruz@example.com,65bcfd09-111c-414a-919d-1b7a45eed8a8,2024-03-14,2024-06-20,2024-04-10 12:28:50.113
661638aeb9a42e76f265f88b,imann@example.org,fc027895-0ee0-44d9-b311-362acfd14e04,2024-03-30,2024-06-20,2024-04-10 12:28:50.113
661638aeb9a42e76f265f88c,robertwong@example.com,dc242786-d358-40f0-bb4d-0a6e01d665f0,2024-03-31,2024-06-30,2024-04-10 12:28:50.113
661638aeb9a42e76f265f88d,ymarquez@example.net,26b8a045-3a17-4dc8-a1ee-d062c2343caf,2024-03-18,2024-06-22,2024-04-10 12:28:50.113
661638aeb9a42e76f265f88e,kimsmith@example.com,73c2e9ff-2748-4a66-aa7d-98e66aa91c0b,2024-03-31,2024-07-05,2024-04-10 12:28:50.113
661638aeb9a42e76f265f88f,kelly32@example.com,7041dbd1-1748-4bfb-9947-328733f19de4,2024-03-23,2024-06-19,2024-04-10 12:28:50.113
661638aeb9a42e76f265f890,maria13@example.org,17897d3c-2bd6-4c5c-8828-d12226fca0d7,2024-03-13,2024-07-06,2024-04-10 12:28:50.113
661638aeb9a42e76f265f891,smithross@example.org,1a787833-4311-419d-83cf-f887f96c5938,2024-04-03,2024-06-10,2024-04-10 12:28:50.113
661638aeb9a42e76f265f892,amanda19@example.com,c4ae1b2d-5907-49b4-84b5-951adc69eaef,2024-04-10,2024-06-25,2024-04-10 12:28:50.113
