_id,email,projectId,allocation_start,allocation_end,created_at
6613df75e31a5cfa9692a5b8,nataliemerritt@example.net,z0gCFdEH85,2024-04-05,2024-05-05,2024-04-08
6613df75e31a5cfa9692a5b9,zacharypayne@example.com,z0gCFdEH85,2024-04-05,2024-05-05,2024-04-08
6613df75e31a5cfa9692a5ba,ljohnson@example.com,z0gCFdEH85,2024-04-05,2024-05-05,2024-04-08
6613df75e31a5cfa9692a5bb,bwatson@example.com,e02lY5n78x,2025-03-23,2025-04-22,2024-04-08
6613df75e31a5cfa9692a5bc,johnwu@example.org,e02lY5n78x,2025-03-23,2025-04-22,2024-04-08
6613df75e31a5cfa9692a5bd,williamtaylor@example.org,e02lY5n78x,2025-03-23,2025-04-22,2024-04-08
6613df75e31a5cfa9692a5be,russell13@example.com,UMcrVEsji2,2024-09-29,2024-10-29,2024-04-08
6613df75e31a5cfa9692a5bf,ruthsmith@example.net,UMcrVEsji2,2024-09-29,2024-10-29,2024-04-08
6613df75e31a5cfa9692a5c0,tiffanyallison@example.com,UMcrVEsji2,2024-09-29,2024-10-29,2024-04-08
6613df75e31a5cfa9692a5c1,kathrynboyd@example.net,IEyGY45qDC,2025-11-30,2025-12-30,2024-04-08
6613df75e31a5cfa9692a5c2,odomthomas@example.com,IEyGY45qDC,2025-11-30,2025-12-30,2024-04-08
6613df75e31a5cfa9692a5c3,jessica68@example.net,IEyGY45qDC,2025-11-30,2025-12-30,2024-04-08
6613df75e31a5cfa9692a5c4,aarias@example.net,wqk766iNNj,2025-10-03,2025-11-02,2024-04-08
6613df75e31a5cfa9692a5c5,jeffreyparks@example.net,wqk766iNNj,2025-10-03,2025-11-02,2024-04-08
6613df75e31a5cfa9692a5c6,qmurray@example.net,wqk766iNNj,2025-10-03,2025-11-02,2024-04-08
6613df75e31a5cfa9692a5c7,gturner@example.com,Tdh5kx05p5,2025-02-06,2025-03-08,2024-04-08
6613df75e31a5cfa9692a5c8,uvillarreal@example.net,Tdh5kx05p5,2025-02-06,2025-03-08,2024-04-08
6613df75e31a5cfa9692a5c9,lhernandez@example.org,Tdh5kx05p5,2025-02-06,2025-03-08,2024-04-08
6613df75e31a5cfa9692a5ca,ljones@example.net,MMwC0KiT5B,2025-08-09,2025-09-08,2024-04-08
6613df75e31a5cfa9692a5cb,jameslisa@example.org,MMwC0KiT5B,2025-08-09,2025-09-08,2024-04-08
6613df75e31a5cfa9692a5cc,olsonkatie@example.com,MMwC0KiT5B,2025-08-09,2025-09-08,2024-04-08
